Name,Latitude,Longitude,Street1,Street2,Street3,City,CountrySubdivisionCode,Income,Population
Edison,40.56,-74.35,1-11 Lincoln Highway,,Colonial Village,Edison,NJ,95622,102304
Macy's-Menlo Park #8,40.54,-74.33,275 Menlo Park Mall,,,Edison,NJ,95622,102304
Menlo Park Mall,40.55,-74.34,100 Menol Park Dr.,,Menlo Park Mall,Edison,NJ,95622,102304
Sheraton Edison,40.52,-74.34,125 Raritan Center Pkwy,,,Edison,NJ,95622,102304
Target Edison T-1055,40.55,-74.34,100 Parsonage Rd,,,Edison,NJ,95622,102304
Jersey Gardens Mall,40.66,-74.17,651 Kapkowski Road,1456,Jersey Gardens,Elizabeth,NJ,45186,129363
Englewood,40.89,-73.97,17 E. Palisades Avenue,,,Englewood,NJ,80670,28509
Marlton,39.89,-74.93,300 State Route 73,Space A,,Evesham,NJ,94395,45489
Target - Fairfield T-1175,40.89,-74.27,632 US Highway 46,,,Fairfield,NJ,52602,6300
Fair Lawn Promanade,40.94,-74.13,16-31 state route 208,,,Fairlawn,NJ,,
240 Route 202 - Flemington,40.49,-74.86,240 Route 202,,,Flemington,NJ,60869,4650
Florham Park,40.79,-74.39,184 Columbia Turnpike,,,Florham Park,NJ,123266,11792
Forked River Travel Plaza-Gdn St. P,39.87,-74.21,Garden State Parkway,Mile Marker 74.5,,Forked River,NJ,,
Acme - Fort Lee #1065,40.86,-73.97,2160 Lemoine Ave,,,Fort Lee,NJ,76578,37058
Fort Lee - Linwood Plaza,40.86,-73.97,136-38 Linwood Plaza,,Linwood Plaza Shopping Center,Fort Lee,NJ,76578,37058
"Fort Lee, Bergen Blvd.",40.86,-73.98,1616 Bergen Blvd.,,,Fort Lee,NJ,76578,37058
"Fort Lee, Route 4 E",40.86,-73.97,2215 SR-4 East,,,Fort Lee,NJ,76578,37058
Lemoine Ave.,40.85,-73.97,1605 Lemoine Ave.,,Whitman Plaza,Fort Lee,NJ,76578,37058
"Franklin, NJ",41.11,-74.58,111 Rt. 23 South,,,Franklin,NJ,57232,4849
Franklin Lakes,40.99,-74.21,816 High Mountain Rd.,,Urban Farms Shopping Center,Franklin Lakes,NJ,155458,10953
Stop & Shop-Franklin #802,40.43,-74.56,3333 Rt. 27,,,Franklin Park,NJ,,
Freehold,40.21,-74.26,621 U.S Highway 9,,,Freehold,NJ,99827,35429
Freehold (B&N),40.26,-74.29,3981 US Highway 9,,,Freehold,NJ,99827,35429
Freehold Raceway Mall,40.25,-74.3,3710 Route 9,,Freehold Raceway Mall,Freehold,NJ,99827,35429
Route 537 Freehold,40.24,-74.31,11 Village Center Drive,,,Freehold,NJ,99827,35429
Galloway Township,39.48,-74.54,68 W. Jimmie Leeds Rd,B1,,Galloway,NJ,65000,37029
Gillette,40.67,-74.48,977 Valley Road,,Valley Mall Shopping Center,Gillette,NJ,,
Glen Ridge,40.8,-74.2,710 Bloomfield Ave.,,,Glen Ridge,NJ,196821,7668
Glen Rock,40.96,-74.13,224 Rock Road,,,Glen Rock,NJ,162443,11962
"Green Brook, NJ",40.59,-74.5,287 Route 22,,,Green Brook,NJ,136094,7210
Hackensack,40.88,-74.06,360 Essex Street,,Sanzari Medical Arts Building,Hackensack,NJ,59277,44673
Target Hackensack T-1330,40.9,-74.04,630 Main St,,,Hackensack,NJ,59277,44673
"Hackettstown, NJ",40.82,-74.84,1885 Route 57,,,Hackettstown,NJ,63940,9569
Target Washington Township T-2446,40.85,-74.81,68 US Highway 46 W,,,Hackettstown,NJ,63940,9569
Haddonfield,39.9,-75.03,214-216 Kings Highway,,,Haddonfield,NJ,138920,11428
Hamilton Trenton,40.21,-74.69,1150 Whitehorse-Mercerville Road,,,Hamilton,NJ,73415,89206
Farley Travel Plaza,39.55,-74.74,Atlantic City Expressway Mile Marker 20,,,Hammonton,NJ,68655,14557
Hasbrouck Heights,40.86,-74.07,201-211 Route 17 South,,,Hasbrouck Heights,NJ,87800,12205
Hillsborough,40.5,-74.65,601 Route 206 & 514,Suite #21,Nelsons Corner Shopping Center,Hillsborough,NJ,119542,39712
Hillsdale,41,-74.04,126 Broadway,,,Hillsdale,NJ,124844,10520
Hoboken - 12th & Hudson,40.75,-74.03,1205 N. Hudson Street,,The Shipyards at 12th & Hudson,Hoboken,NJ,127523,54117
"Hoboken, Washington St.",40.74,-74.03,314  Washington Ave.,,,Hoboken,NJ,127523,54117
